team_id,gate_revenue,gate_share_gained,gate_share_lost,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance,player_payroll,player_payroll_next_season,player_payroll_offered,mode
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3754,212536,83,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5040000.0000,0.0000,0.0000,1
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,145534,53,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14900000.0000,0.0000,0.0000,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,172048,73,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920000.0000,0.0000,0.0000,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,196974,99,0,12,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280000.0000,0.0000,0.0000,1
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4830,182019,99,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40080000.0000,21900000.0000,0.0000,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920,186624,79,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27175000.0000,9537500.0000,0.0000,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,189262,75,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44815000.0000,0.0000,0.0000,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,124347,51,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785000.0000,0.0000,0.0000,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,153191,86,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36215000.0000,0.0000,0.0000,1
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720,202712,69,0,4,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10360000.0000,0.0000,0.0000,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,199068,52,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210000.0000,0.0000,0.0000,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,202047,92,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17660000.0000,0.0000,0.0000,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,138688,68,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37105478.0000,18555478.0000,0.0000,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4657,255787,85,1,7,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080000.0000,0.0000,0.0000,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,219981,83,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3745000.0000,0.0000,0.0000,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804,101494,49,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,144073,88,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635000.0000,0.0000,0.0000,1
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,192836,89,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2868,191352,95,0,9,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,173887,100,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,3
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,146716,55,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872500.0000,0.0000,0.0000,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729,104237,59,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,192922,100,0,15,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2675000.0000,0.0000,0.0000,1
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,127756,50,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605000.0000,0.0000,0.0000,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,108558,49,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,143363,74,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,1
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,177941,80,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,267370,73,0,7,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140000.0000,0.0000,0.0000,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,111581,85,0,4,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605000.0000,0.0000,0.0000,3
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682,165493,57,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924,141182,77,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000.0000,0.0000,0.0000,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,154454,99,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000.0000,0.0000,0.0000,3
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2466,169534,51,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000.0000,0.0000,0.0000,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,139128,55,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,134839,76,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,129267,97,0,4,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,3
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,126934,58,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,124563,57,0,5,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2675000.0000,0.0000,0.0000,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,195798,96,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2350,161985,83,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140000.0000,0.0000,0.0000,3
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,168230,50,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210000.0000,0.0000,0.0000,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180,249937,100,0,11,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,7
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,116640,49,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,224967,81,0,2,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,126684,72,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18605000.0000,17000000.0000,0.0000,3
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,86850,55,0,3,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070000.0000,0.0000,0.0000,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,109719,75,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,119567,49,0,4,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,53457,96,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1585000.0000,0.0000,0.0000,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,85025,59,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,3
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,187302,92,0,9,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000.0000,0.0000,0.0000,3
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,137352,100,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,10
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,153212,82,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,3
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,63539,48,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,191955,99,0,12,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000.0000,0.0000,0.0000,1
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,123655,62,0,2,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010000.0000,0.0000,0.0000,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,146955,78,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,1
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,130378,53,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,133858,93,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,3
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,163456,73,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,98065,51,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
