team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
300,2040,158,6,1,694,181,882,371,196,43,0,144,182,167,259,207,3090,0,76,0,4,10,4,108,41,7,16,7,40,18,0,30,27,21,46,13,0,8,4,76,0,0,57,12,0,17.9503,0.2824,0.4126,0.5346,0.9472,9.7459,2.1381,1.9890,7.1602,0.0000,0.0000,0.0000,0.2857,0.0000,0.5000,0.5000,0.6053,8.3039,40.6579,0.0000,1.8785,0.5558,0.2986,0.2488
301,2040,158,6,1,759,215,885,257,134,242,0,94,77,70,219,164,3496,2,122,0,16,6,19,67,35,9,5,8,24,1,1,3,11,17,50,5,0,22,3,122,0,0,15,15,14,10.2241,0.1765,0.2800,0.3386,0.6186,5.5920,10.0989,1.0015,3.9227,0.0000,0.0000,0.0000,0.7273,0.0000,0.8636,0.1364,0.4098,2.9212,28.6557,0.0000,1.0572,0.5718,2.5745,0.2209
302,2040,158,6,1,576,164,666,162,107,151,0,71,51,39,182,133,2553,0,107,0,8,9,16,76,18,2,2,2,11,2,0,1,7,15,50,3,0,20,3,107,0,0,31,22,14,10.5915,0.1858,0.2907,0.2812,0.5719,5.8720,8.2866,0.6037,3.8963,0.0000,0.0000,0.0000,0.4706,0.0000,0.8421,0.1500,0.4673,2.1402,23.8598,0.0000,1.0854,0.5778,2.1268,0.2308
303,2040,158,6,1,727,214,814,151,93,326,0,71,50,34,188,116,3233,1,128,0,11,6,19,65,12,9,2,2,14,0,0,9,8,5,50,5,0,28,4,128,0,0,28,8,19,7.0964,0.1279,0.2099,0.2077,0.4176,3.9051,13.6890,0.5879,2.9813,0.0000,0.0000,0.0000,0.6471,0.0000,0.8261,0.1429,0.3906,1.4277,25.2578,0.0000,0.7652,0.6184,4.5915,0.2031
304,2040,158,6,1,728,207,829,182,115,266,0,87,60,51,215,119,3235,0,135,0,15,9,16,79,19,1,2,3,14,1,0,5,6,11,49,8,0,24,4,135,0,0,20,10,20,9.2609,0.1580,0.2572,0.2500,0.5072,5.0000,11.5652,0.6087,3.7826,0.0000,0.0000,0.0000,0.6250,0.0000,0.8000,0.1667,0.3630,2.2174,23.9630,0.0000,0.9758,0.6437,3.0575,0.2244
305,2040,158,6,1,433,125,491,102,69,172,0,41,22,21,125,70,1868,2,87,0,16,4,16,48,15,7,2,0,6,1,0,15,5,8,44,4,0,22,5,87,0,0,17,3,12,8.4509,0.1594,0.2438,0.2356,0.4794,4.9416,12.3183,0.4297,2.9363,0.0000,0.0000,0.0000,0.8000,0.0000,0.7619,0.2273,0.5057,1.5040,21.4713,0.0000,0.8753,0.6410,4.1951,0.2451
306,2040,158,6,1,981,249,1198,487,277,27,0,154,242,195,349,320,4245,0,97,0,7,10,3,165,57,3,21,12,43,30,0,10,46,39,50,9,0,6,3,97,0,0,74,27,0,16.9880,0.2824,0.3933,0.4964,0.8897,10.0120,0.9759,1.5542,5.5663,0.0000,0.0000,0.0000,0.4118,0.0000,0.5000,0.5000,0.5155,7.0482,43.7629,0.0000,1.7309,0.5217,0.1753,0.2511
307,2040,158,6,1,942,255,1133,446,236,38,0,144,162,150,356,317,3984,0,90,0,14,11,9,127,53,11,7,11,45,14,0,5,38,29,49,15,0,11,1,90,0,0,70,24,0,14.4353,0.2505,0.3645,0.4735,0.8380,8.3294,1.3412,1.5882,5.0824,0.0000,0.0000,0.0000,0.5600,0.0000,0.9000,0.0909,0.5444,5.2941,44.2667,0.0000,1.4902,0.5290,0.2639,0.2206
308,2040,158,6,1,777,214,934,323,167,244,0,121,114,99,229,141,3731,0,167,0,14,9,12,93,31,15,7,4,39,4,0,5,13,14,50,9,0,21,9,167,0,0,19,11,15,12.7009,0.2149,0.3286,0.4157,0.7443,7.0234,10.2617,1.6402,5.0888,0.0000,0.0000,0.0000,0.6087,0.0000,0.5714,0.4286,0.2994,4.1636,22.3413,0.0000,1.3458,0.6189,2.0165,0.2555
309,2040,159,6,1,459,133,505,155,73,159,0,37,35,31,129,98,1970,1,67,0,13,4,14,36,14,3,1,1,22,1,0,4,2,5,36,8,0,21,5,67,0,0,10,5,9,7.7625,0.1590,0.2291,0.3377,0.5668,4.9275,10.7325,1.4850,2.4975,0.0000,0.0000,0.0000,0.7647,0.0000,0.7368,0.2381,0.5373,2.0925,29.4030,0.0000,0.8250,0.5683,4.2973,0.1828
310,2040,159,6,1,500,146,548,150,70,214,0,41,39,34,128,88,2160,1,90,0,14,2,15,35,11,3,1,3,21,0,0,2,1,3,35,4,0,18,1,90,0,0,15,3,18,7.0114,0.1400,0.2092,0.3000,0.5092,4.3052,13.1617,1.2916,2.5216,0.0000,0.0000,0.0000,0.8750,0.0000,0.9375,0.0556,0.3889,2.0911,24.0000,0.0000,0.7585,0.5926,5.2195,0.1842
312,2040,159,6,1,898,224,1087,443,245,27,0,147,203,157,323,294,3798,0,90,0,3,9,2,148,44,9,13,5,48,19,0,4,41,20,39,7,0,6,4,90,0,0,67,9,0,16.5536,0.2728,0.3822,0.4933,0.8755,9.8438,1.0848,1.9286,5.9062,0.0000,0.0000,0.0000,0.2500,0.0000,0.3333,0.6667,0.4333,6.3080,42.2000,0.0000,1.7500,0.5235,0.1837,0.2356
313,2040,159,6,1,596,149,706,278,158,140,0,78,119,85,163,131,2595,1,94,0,8,7,3,96,30,10,5,6,26,1,0,6,25,17,36,3,0,9,6,94,0,0,27,9,2,15.2478,0.2651,0.3635,0.4664,0.8299,9.5223,8.4375,1.5670,4.7009,0.0000,0.0000,0.0000,0.5333,0.0000,0.3333,0.6667,0.3830,5.1228,27.6064,0.0000,1.5804,0.5544,1.7949,0.3034
314,2040,159,6,1,481,143,516,125,69,140,0,25,30,25,171,98,2033,0,84,0,12,5,14,43,10,3,0,2,14,0,0,1,3,7,39,8,0,25,7,84,0,0,8,11,13,6.3566,0.1435,0.1969,0.2599,0.4568,4.3427,8.8112,0.8811,1.5734,0.0000,0.0000,0.0000,0.7059,0.0000,0.6667,0.2800,0.4643,1.5734,24.2024,0.0000,0.6573,0.6357,5.6000,0.1682
315,2040,159,6,1,649,170,764,322,163,19,0,89,131,110,246,216,2627,0,64,0,11,8,3,87,33,5,3,3,40,9,0,12,17,18,35,10,0,6,2,64,0,0,38,14,0,14.2941,0.2512,0.3557,0.4961,0.8519,8.6294,1.0059,2.1176,4.7118,0.0000,0.0000,0.0000,0.5789,0.0000,0.6000,0.3333,0.5469,5.8235,41.0469,0.0000,1.4824,0.5325,0.2135,0.2074
316,2040,159,6,1,463,127,519,182,94,103,0,46,54,54,159,104,1919,0,89,0,13,6,12,54,16,2,2,0,24,0,0,5,8,6,35,5,0,19,5,89,0,0,18,6,15,10.3465,0.2030,0.2824,0.3931,0.6755,6.6614,7.2992,1.7008,3.2598,0.0000,0.0000,0.0000,0.6842,0.0000,0.7059,0.2632,0.3933,3.8268,21.5618,0.0000,1.1024,0.6046,2.2391,0.2071
317,2040,159,6,1,535,149,606,210,106,130,0,59,59,54,170,129,2207,0,73,0,9,8,4,57,21,6,2,1,27,0,0,15,14,4,36,7,0,12,7,73,0,0,18,9,8,10.2081,0.1981,0.2817,0.3925,0.6742,6.4027,7.8523,1.6309,3.5638,0.0000,0.0000,0.0000,0.5294,0.0000,0.3636,0.5833,0.4932,3.2617,30.2329,0.0000,1.1074,0.5686,2.2034,0.2079
318,2040,160,6,1,340,102,362,64,37,175,0,14,16,14,74,53,1421,0,48,0,8,1,15,23,7,1,1,1,6,1,0,1,1,6,35,1,0,20,0,48,0,0,6,2,3,5.0294,0.1088,0.1579,0.1882,0.3461,3.2647,15.4412,0.5294,1.2353,0.0000,0.0000,0.0000,0.8889,0.0000,1.0000,0.0000,0.7292,1.2353,29.6042,0.0000,0.5000,0.5827,12.5000,0.1938
319,2040,160,6,1,376,111,409,77,47,142,0,23,19,15,108,81,1514,2,64,0,10,2,19,31,9,3,1,0,7,0,0,5,1,6,34,3,0,26,3,64,0,0,10,1,9,6.1254,0.1250,0.1872,0.2048,0.3920,3.7881,11.4448,0.5642,1.8537,0.0000,0.0000,0.0000,0.8333,0.0000,0.8636,0.1154,0.5312,1.2090,23.6562,0.0000,0.6269,0.5714,6.1739,0.1754
320,2040,160,6,1,747,196,895,399,192,24,0,120,159,149,284,253,3001,1,72,0,6,8,3,100,31,6,8,7,54,10,0,19,21,14,36,11,0,4,1,72,0,0,37,8,0,14.9440,0.2570,0.3667,0.5341,0.9008,8.8014,1.1002,2.4754,5.5008,0.0000,0.0000,0.0000,0.4286,0.0000,0.7500,0.2500,0.5000,6.8302,41.6806,0.0000,1.5891,0.5289,0.2000,0.2038
322,2040,160,6,1,538,148,614,225,105,136,0,62,63,63,174,128,2273,1,83,0,12,8,11,52,19,8,3,1,33,0,1,4,7,2,38,2,0,16,3,83,0,0,17,5,9,10.2539,0.1952,0.2793,0.4182,0.6976,6.3708,8.2517,2.0022,3.7618,0.0000,0.0000,0.0000,0.6000,0.0000,0.7857,0.1875,0.4578,3.8225,27.3855,0.0000,1.1258,0.5762,2.1935,0.1935
323,2040,160,6,1,402,113,457,153,75,116,0,46,44,42,110,96,1728,1,63,0,5,4,15,40,13,1,0,1,21,0,0,8,6,8,37,9,0,20,1,63,0,0,8,7,6,10.2441,0.1866,0.2829,0.3806,0.6635,5.9559,9.2118,1.6676,3.6529,0.0000,0.0000,0.0000,0.5556,0.0000,0.9375,0.0500,0.5873,3.3353,27.4286,0.0000,1.0676,0.5340,2.5217,0.2038
324,2040,160,6,1,531,140,607,233,115,115,0,64,84,75,173,121,2247,2,77,0,7,4,13,60,22,4,1,3,30,0,0,4,5,7,39,3,0,19,3,77,0,0,6,9,7,11.9005,0.2166,0.3085,0.4388,0.7473,7.3578,7.3578,1.9194,4.0948,0.0000,0.0000,0.0000,0.6364,0.0000,0.8125,0.1579,0.5065,4.7986,29.1818,0.0000,1.2725,0.5884,1.7969,0.2196
325,2040,160,6,1,530,144,607,228,115,95,0,57,79,65,171,146,2117,2,81,0,9,3,9,64,19,4,4,2,30,2,0,2,6,12,35,3,0,13,3,81,0,0,21,11,7,11.4470,0.2170,0.3051,0.4302,0.7353,7.1544,5.9101,1.8664,3.5461,0.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.2308,0.4321,4.0438,26.1358,0.0000,1.1889,0.5394,1.6667,0.2078
326,2040,160,6,1,542,148,602,213,115,163,0,43,65,62,159,107,2330,1,95,0,9,6,9,72,14,5,3,3,26,0,0,3,6,9,38,6,0,13,4,95,0,0,7,3,10,10.1326,0.2122,0.2797,0.3930,0.6727,6.9775,9.8899,1.5775,2.6090,0.0000,0.0000,0.0000,0.6000,0.0000,0.6923,0.3077,0.4000,3.7618,24.5263,0.0000,1.0652,0.5977,3.7907,0.2500
327,2040,159,6,1,621,162,716,246,145,156,0,67,93,82,176,140,2536,1,86,0,8,11,5,95,23,8,5,3,24,2,0,12,8,15,36,2,0,14,7,86,0,0,12,6,3,12.5852,0.2335,0.3206,0.3961,0.7168,8.0390,8.6489,1.3306,3.7146,0.0000,0.0000,0.0000,0.4211,0.0000,0.4167,0.5000,0.4186,4.5462,29.4884,0.0000,1.3060,0.5570,2.3284,0.2713
328,2040,160,6,1,319,87,360,135,64,100,0,30,41,38,87,67,1292,2,56,0,6,3,13,34,8,2,5,3,19,0,0,1,3,4,36,9,0,17,4,56,0,0,2,1,3,10.0608,0.2006,0.2737,0.4232,0.6969,6.5703,10.2662,1.9506,3.0798,0.0000,0.0000,0.0000,0.6667,0.0000,0.7647,0.2353,0.6429,3.9011,23.0714,0.0000,1.0722,0.5649,3.3333,0.2195
