team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
31,2021,145,1,2,1,0,5493,1442,6250,0,1400,1211,457,576,778,714,1697,1224,22870,2,162,162,71,91,37,900,275,67,40,26,199,2,2,81,74,72,161,117,70,67,30,432,1,6,77,35,50,12.7763,0.2549,0.3313,0.4231,0.7544,8.7338,7.5548,1.2415,3.5933,0.0062,0.0000,0.4321,0.4383,2.8210,0.5522,0.4478,0.3727,4.4543,138.6061,0.0000,1.3697,0.5810,2.1024,0.2913
31,2022,145,1,1,1,0,5427,1446,6126,0,1291,1169,391,561,712,657,1730,1245,22497,2,162,162,69,93,46,791,290,48,31,33,177,2,2,87,67,57,161,116,71,65,19,504,1,9,103,46,81,11.8763,0.2379,0.3142,0.4013,0.7155,8.0316,7.2726,1.1012,3.4901,0.0062,0.0000,0.4383,0.4259,2.4136,0.7077,0.2923,0.3194,4.0873,138.0184,0.0000,1.2802,0.5815,2.0838,0.2709
31,2023,145,1,1,1,1,5503,1457,6249,2308,1339,1306,419,569,752,705,1577,1295,23178,1,162,162,69,93,32,795,319,53,32,25,200,8,0,84,75,92,160,142,62,65,33,550,2,9,100,25,55,12.3513,0.2433,0.3228,0.4194,0.7422,8.2692,8.0654,1.2351,3.5140,0.0123,4.4858,0.3827,0.4259,2.5864,0.4923,0.5077,0.2909,4.3538,143.0741,0.0000,1.3092,0.5491,2.2953,0.2827
31,2024,145,1,1,1,1,5460,1448,6229,2232,1368,1222,408,609,746,683,1577,1326,23442,2,162,162,65,97,29,877,292,51,37,25,174,3,1,50,75,71,160,151,61,51,22,498,2,10,109,49,73,12.7234,0.2505,0.3316,0.4088,0.7403,8.4988,7.5918,1.0810,3.7835,0.0123,4.4477,0.3765,0.4012,2.5185,0.5686,0.4314,0.3213,4.2432,144.7037,0.0000,1.3647,0.5432,2.0066,0.2911
31,2025,145,1,1,1,1,5406,1443,6060,2157,1295,1279,440,514,626,577,1528,1303,22612,0,162,162,74,88,44,813,278,51,29,28,176,2,1,61,74,59,154,148,95,60,16,442,8,7,77,29,85,11.6507,0.2395,0.3109,0.3990,0.7099,8.0769,7.9771,1.0977,3.2058,0.0494,0.0000,0.5864,0.4568,2.7160,0.7333,0.2667,0.3484,3.5988,137.0424,0.0000,1.2536,0.5397,2.4883,0.2812
31,2026,145,1,1,1,1,5460,1459,6132,2170,1290,1439,485,528,653,605,1463,1291,23241,0,162,162,96,66,48,812,266,46,43,22,190,5,1,33,55,54,161,129,83,66,18,440,1,11,80,29,72,11.5476,0.2363,0.3076,0.3974,0.7051,7.9575,8.8766,1.1720,3.2570,0.0062,4.1048,0.5123,0.5926,2.9938,0.7273,0.2727,0.3659,3.7320,143.4630,0.0000,1.2461,0.5312,2.7254,0.2839
31,2027,145,1,1,1,1,5564,1473,6245,2232,1348,1381,444,514,708,664,1516,1353,23149,0,162,162,86,76,52,843,301,56,40,29,175,4,3,27,44,68,157,106,80,77,24,451,5,8,92,34,62,11.7923,0.2423,0.3120,0.4012,0.7131,8.2363,8.4379,1.0692,3.1405,0.0309,4.1062,0.4938,0.5309,2.7407,0.6842,0.3117,0.3481,4.0570,142.8951,0.0000,1.2641,0.5284,2.6868,0.2898
31,2028,145,1,1,1,1,5415,1455,6023,2054,1255,1395,657,474,604,560,1454,1330,22695,0,162,162,99,63,44,800,270,44,39,26,159,4,2,23,36,49,154,115,99,60,16,395,8,17,73,38,53,10.9979,0.2318,0.2975,0.3793,0.6768,7.7629,8.6289,0.9835,2.9320,0.0494,0.0000,0.6111,0.6111,4.0556,0.7333,0.2667,0.3899,3.4639,138.3841,0.0000,1.1883,0.5223,2.9430,0.2810
31,2029,145,1,1,1,1,5451,1450,6075,2229,1296,1315,541,473,663,605,1444,1422,22261,0,162,162,86,76,42,771,301,53,39,40,184,4,3,38,56,56,158,118,88,69,23,453,4,8,72,29,63,11.3276,0.2378,0.3032,0.4089,0.7121,8.0441,8.1621,1.1421,2.9359,0.0247,4.0395,0.5432,0.5309,3.3395,0.6462,0.3333,0.3488,3.7552,137.4136,0.0000,1.2200,0.5038,2.7801,0.2786
31,2030,145,1,1,1,1,5489,1476,6067,2137,1267,1352,547,427,581,550,1494,1411,22425,1,162,162,104,58,57,776,287,49,42,29,175,10,0,30,48,60,157,125,96,78,21,441,5,10,71,19,79,10.6927,0.2308,0.2915,0.3893,0.6808,7.7239,8.2420,1.0668,2.6031,0.0309,3.8532,0.5926,0.6420,3.3765,0.7308,0.2692,0.3560,3.3529,138.4259,0.0000,1.1474,0.5143,3.1663,0.2727
