team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
164,2040,146,2,1,1688,431,1850,664,462,337,233,113,216,190,521,369,6823,2,74,74,24,20,0,323,105,7,15,5,29,0,1,0,22,26,0,24,40,0,0,0,2,2,45,18,0,12.5305,0.2737,0.3263,0.3934,0.7196,9.6324,7.0263,0.6046,2.3560,0.0270,0.0000,0.5405,0.5455,3.1486,0.0000,0.0000,0.0000,3.9614,92.2027,0.0000,1.3320,0.5854,2.9823,0.3239
165,2040,146,2,1,1617,405,1840,688,482,275,128,173,239,222,509,354,6703,2,73,73,5,40,0,348,93,13,15,10,31,1,0,30,22,22,0,27,29,0,0,0,1,0,49,27,0,15.0197,0.2981,0.3706,0.4255,0.7960,10.6935,6.1011,0.6878,3.8381,0.0137,0.0000,0.3973,0.1111,1.7534,0.0000,0.0000,0.0000,4.9252,91.8219,0.0000,1.6146,0.5898,1.5896,0.3401
166,2040,146,2,1,1518,386,1716,639,413,288,204,167,223,206,484,322,6415,1,74,74,18,25,0,274,91,3,10,9,39,2,0,6,28,18,0,21,28,0,0,0,0,0,33,26,0,13.9310,0.2721,0.3491,0.4209,0.7700,9.6212,6.7092,0.9085,3.8904,0.0000,0.0000,0.3784,0.4186,2.7568,0.0000,0.0000,0.0000,4.7990,86.6892,0.0000,1.5013,0.6005,1.7246,0.3114
167,2040,146,2,1,1675,411,1841,724,501,385,241,122,250,215,505,273,6884,1,75,75,24,24,0,346,115,5,12,12,28,3,0,4,26,27,0,18,30,0,0,0,0,0,45,30,0,14.2220,0.2991,0.3540,0.4322,0.7863,10.9619,8.4238,0.6126,2.6694,0.0000,0.0000,0.4000,0.5000,3.2133,0.0000,0.0000,0.0000,4.7042,91.7867,0.0000,1.5146,0.6491,3.1557,0.3713
168,2040,146,2,1,1561,406,1714,593,390,410,271,125,180,155,454,296,6459,1,73,73,33,14,0,269,75,5,8,10,36,4,0,15,16,15,0,19,27,0,0,0,0,0,29,22,0,11.7391,0.2498,0.3101,0.3799,0.6900,8.6382,9.0812,0.7974,2.7687,0.0000,0.0000,0.3699,0.7021,3.7123,0.0000,0.0000,0.0000,3.4331,88.4795,0.0000,1.2674,0.6053,3.2800,0.3152
169,2040,146,2,1,1668,423,1827,631,442,392,215,112,212,188,507,323,6843,2,75,75,23,24,0,312,95,10,14,11,24,0,0,0,16,23,0,12,37,0,0,0,0,0,44,20,0,12.2573,0.2650,0.3176,0.3783,0.6959,9.3895,8.3273,0.5098,2.3792,0.0000,0.0000,0.4933,0.4894,2.8667,0.0000,0.0000,0.0000,3.9937,91.2400,0.0000,1.3076,0.6108,3.5000,0.3302
170,2040,146,2,1,1642,419,1793,689,449,312,203,110,215,202,573,312,6690,0,74,74,23,27,0,299,99,11,10,12,39,2,1,1,15,19,0,17,26,0,0,0,1,1,50,25,0,12.4153,0.2734,0.3245,0.4196,0.7441,9.6444,6.7017,0.8377,2.3628,0.0135,0.0000,0.3514,0.4600,2.7432,0.0000,0.0000,0.0000,4.3389,90.4054,0.0000,1.3341,0.6475,2.8364,0.3151
171,2040,147,2,1,1609,393,1821,720,482,358,356,170,286,258,415,346,6927,0,75,75,29,22,0,334,95,7,14,16,37,3,0,2,28,21,0,30,22,0,0,0,1,1,56,21,0,15.4122,0.2996,0.3710,0.4475,0.8185,11.0382,8.1985,0.8473,3.8931,0.0133,0.0000,0.2933,0.5686,4.7467,0.0000,0.0000,0.0000,5.9084,92.3600,0.0000,1.6590,0.5453,2.1059,0.3624
172,2040,147,2,1,1526,347,1703,881,530,292,243,143,332,314,401,298,6409,1,75,75,11,34,0,328,120,7,9,15,67,0,0,2,19,18,0,26,13,0,0,0,1,0,31,12,0,17.9050,0.3473,0.4074,0.5773,0.9848,13.7332,7.5662,1.7361,3.7054,0.0133,0.0000,0.1733,0.2444,3.2400,0.0000,0.0000,0.0000,8.1363,85.4533,0.0000,1.9376,0.5737,2.0420,0.3937
173,2040,147,2,1,1618,391,1825,770,498,383,286,162,308,290,426,314,6938,0,75,75,23,28,0,332,104,7,13,18,44,3,0,10,34,25,0,18,17,0,0,0,0,0,69,23,0,15.7673,0.3078,0.3768,0.4759,0.8527,11.4629,8.8159,1.0128,3.7289,0.0000,0.0000,0.2267,0.4510,3.8133,0.0000,0.0000,0.0000,6.6752,92.5067,0.0000,1.6880,0.5757,2.3642,0.3771
