team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
181,2040,147,2,0,0,69,690,2586,702,1835,49,39,0,5,172,54,0,5505,0,0.9811,4.1477,0.3140,0.0000
182,2040,147,2,0,0,69,690,2555,671,1844,40,40,0,6,140,46,0,5532,0,0.9843,4.0916,0.3286,0.0000
183,2040,147,2,0,0,69,690,2553,658,1840,55,36,0,4,264,66,0,5520,0,0.9785,4.0728,0.2500,0.0000
184,2040,147,2,0,0,69,690,2660,758,1850,52,54,0,10,170,64,0,5550,0,0.9805,4.2292,0.3765,0.0000
185,2040,147,2,0,0,69,690,2505,607,1850,48,33,0,4,162,28,0,5550,0,0.9808,3.9843,0.1728,0.0000
186,2040,147,2,0,0,69,690,2468,578,1847,43,35,0,8,192,50,0,5541,0,0.9826,3.9388,0.2604,0.0000
187,2040,148,3,0,0,74,740,2783,782,1948,53,41,0,4,216,70,0,5847,0,0.9810,4.2022,0.3241,0.0000
188,2040,148,3,0,0,74,740,2786,729,2003,54,42,0,3,198,66,0,6012,0,0.9806,4.0898,0.3333,0.0000
189,2040,148,3,0,0,74,740,2778,742,1965,71,34,0,9,256,74,0,5895,0,0.9744,4.1328,0.2891,0.0000
190,2040,148,3,0,0,74,740,2715,723,1930,62,30,0,13,208,82,0,5796,0,0.9772,4.1196,0.3942,0.0000
191,2040,148,3,0,0,74,740,2761,765,1960,36,44,0,11,186,46,0,5883,0,0.9870,4.1688,0.2473,0.0000
192,2040,148,3,0,0,74,740,2858,838,1970,50,53,0,4,216,74,0,5910,0,0.9825,4.2761,0.3426,0.0000
193,2040,148,3,0,0,74,740,2898,867,1970,61,49,0,6,384,86,0,5910,0,0.9790,4.3203,0.2240,0.0000
194,2040,148,3,0,0,74,740,2753,696,2005,52,36,0,4,148,56,0,6015,0,0.9811,4.0414,0.3784,0.0000
195,2040,148,3,0,0,74,740,2819,789,1972,58,44,1,5,260,84,0,5916,0,0.9794,4.2003,0.3231,0.0000
196,2040,148,3,0,0,74,740,2852,807,1975,70,34,0,5,310,82,0,5925,0,0.9755,4.2258,0.2645,0.0000
197,2040,148,3,0,0,74,740,2776,690,2024,62,29,0,8,226,62,0,6072,0,0.9777,4.0227,0.2743,0.0000
198,2040,148,3,0,0,74,740,2807,772,1969,66,53,0,6,248,68,0,5910,0,0.9765,4.1741,0.2742,0.0000
199,2040,149,3,0,0,75,750,2781,713,2019,49,34,0,9,240,50,0,6057,0,0.9824,4.0594,0.2083,0.0000
200,2040,149,3,0,0,76,760,2812,771,2005,36,42,0,7,272,74,0,6015,0,0.9872,4.1536,0.2721,0.0000
201,2040,149,3,0,0,76,760,2916,823,2047,46,47,0,5,280,90,0,6141,0,0.9842,4.2062,0.3214,0.0000
202,2040,149,3,0,0,76,760,2892,797,2045,50,47,0,8,238,70,0,6135,0,0.9827,4.1692,0.2941,0.0000
203,2040,149,3,0,0,76,760,2838,775,2024,39,52,0,7,202,66,0,6072,0,0.9863,4.1487,0.3267,0.0000
204,2040,149,3,0,0,75,750,2718,688,1988,42,52,0,7,236,60,0,5964,0,0.9845,4.0382,0.2542,0.0000
205,2040,149,3,0,0,76,760,2950,862,2026,62,47,0,6,282,76,0,6078,0,0.9790,4.2764,0.2695,0.0000
206,2040,149,3,0,0,76,760,2796,713,2023,60,44,0,20,330,60,0,6069,0,0.9785,4.0573,0.1818,0.0000
207,2040,149,3,0,0,76,760,2764,677,2034,53,42,0,4,170,42,0,6102,0,0.9808,3.9985,0.2471,0.0000
208,2040,149,3,0,0,76,760,2873,797,2025,51,58,0,5,230,66,0,6075,0,0.9822,4.1807,0.2870,0.0000
209,2040,150,3,0,0,73,730,2696,725,1917,54,35,0,5,310,74,0,5751,0,0.9800,4.1346,0.2387,0.0000
210,2040,150,3,0,0,74,740,2851,806,1997,48,43,0,5,286,80,0,5991,0,0.9832,4.2108,0.2797,0.0000
211,2040,150,3,0,0,74,740,2818,806,1974,38,49,0,8,214,62,0,5922,0,0.9865,4.2249,0.2897,0.0000
212,2040,150,3,0,0,74,740,2890,847,1989,54,51,0,4,238,62,0,5967,0,0.9813,4.2775,0.2605,0.0000
213,2040,150,3,0,0,74,740,2852,797,2003,52,47,0,9,250,76,0,6009,0,0.9818,4.1937,0.3040,0.0000
214,2040,150,3,0,0,73,730,2833,853,1932,48,57,0,4,200,56,0,5796,0,0.9831,4.3245,0.2800,0.0000
215,2040,150,3,0,0,74,740,2814,787,1977,50,51,0,10,192,100,0,5931,0,0.9822,4.1942,0.5208,0.0000
216,2040,150,3,0,0,74,740,2904,841,2009,54,39,0,6,328,80,0,6027,0,0.9814,4.2558,0.2439,0.0000
218,2040,151,4,0,0,74,740,2734,696,2006,32,44,0,5,138,50,0,6021,0,0.9883,4.0389,0.3623,0.0000
219,2040,151,4,0,0,74,740,2730,722,1962,46,44,0,8,238,84,0,5886,0,0.9832,4.1040,0.3529,0.0000
220,2040,151,4,0,0,74,740,2832,825,1961,46,50,0,15,230,74,0,5886,0,0.9838,4.2599,0.3217,0.0000
221,2040,151,4,0,0,74,740,2670,677,1956,37,38,0,8,262,38,0,5868,0,0.9861,4.0383,0.1450,0.0000
223,2040,151,4,0,0,74,740,2788,754,1973,61,35,0,67,356,84,0,5919,0,0.9781,4.1465,0.2360,0.0000
224,2040,151,4,0,0,74,740,2723,688,1999,36,34,0,7,198,64,0,5997,0,0.9868,4.0325,0.3232,0.0000
225,2040,152,4,0,0,66,660,2556,717,1787,52,27,0,4,220,76,0,5361,0,0.9797,4.2037,0.3455,0.0000
226,2040,151,4,0,0,74,740,2691,674,1978,39,36,0,7,216,64,0,5934,0,0.9855,4.0222,0.2963,0.0000
227,2040,152,4,0,0,66,660,2446,689,1720,37,43,0,9,216,72,0,5163,0,0.9849,4.1993,0.3333,0.0000
228,2040,153,4,0,0,74,740,2752,698,2001,53,37,0,6,196,80,0,6003,0,0.9807,4.0465,0.4082,0.0000
229,2040,152,4,0,0,66,660,2451,644,1759,48,35,0,8,196,60,0,5277,0,0.9804,4.0984,0.3061,0.0000
230,2040,152,4,0,0,66,660,2532,725,1778,29,45,0,5,168,62,0,5337,0,0.9885,4.2209,0.3690,0.0000
231,2040,152,4,0,0,66,660,2537,726,1740,71,42,0,3,334,104,0,5220,0,0.9720,4.2517,0.3114,0.0000
232,2040,152,4,0,0,66,660,2512,714,1744,54,33,0,6,214,78,0,5232,0,0.9785,4.2282,0.3645,0.0000
233,2040,151,4,0,0,74,740,2658,657,1968,33,31,0,7,246,80,0,5907,0,0.9876,3.9995,0.3252,0.0000
234,2040,152,4,0,0,66,660,2552,717,1789,46,37,0,5,258,72,0,5367,0,0.9820,4.2023,0.2791,0.0000
236,2040,153,4,0,0,74,740,2799,768,1988,43,43,0,4,222,76,0,5964,0,0.9846,4.1590,0.3423,0.0000
237,2040,153,4,0,0,74,740,2770,713,2018,39,31,0,4,152,62,0,6054,0,0.9859,4.0600,0.4079,0.0000
238,2040,153,4,0,0,74,740,2867,807,2008,52,36,0,8,188,64,0,6024,0,0.9819,4.2057,0.3404,0.0000
239,2040,153,4,0,0,74,740,2938,865,2027,46,40,0,5,396,122,0,6081,0,0.9843,4.2802,0.3081,0.0000
240,2040,153,4,0,0,74,740,2789,738,1988,63,32,0,7,342,100,0,5964,0,0.9774,4.1137,0.2924,0.0000
241,2040,153,4,0,0,74,740,2688,695,1953,40,34,0,1,232,74,0,5859,0,0.9851,4.0676,0.3190,0.0000
242,2040,153,4,0,0,74,740,2868,808,1994,66,37,0,7,242,74,0,5982,0,0.9770,4.2156,0.3058,0.0000
243,2040,153,4,0,0,74,740,2829,822,1953,54,47,0,10,224,70,0,5859,0,0.9809,4.2627,0.3125,0.0000
244,2040,153,4,0,0,74,740,2849,809,1979,61,51,0,8,296,104,0,5940,0,0.9786,4.2242,0.3514,0.0000
245,2040,152,4,0,0,66,660,2591,757,1771,63,31,0,5,276,84,0,5313,0,0.9757,4.2823,0.3043,0.0000
246,2040,153,4,0,0,74,740,2836,811,1978,47,40,0,5,344,126,0,5934,0,0.9834,4.2300,0.3663,0.0000
247,2040,154,4,0,0,74,740,2839,770,2017,52,37,0,2,222,70,0,6051,0,0.9817,4.1453,0.3153,0.0000
248,2040,154,4,0,0,74,740,2812,762,1993,57,28,0,4,248,68,0,5979,0,0.9797,4.1470,0.2742,0.0000
249,2040,154,4,0,0,74,740,2834,800,1993,41,42,0,6,276,126,0,5979,0,0.9855,4.2042,0.4565,0.0000
250,2040,154,4,0,0,74,740,2833,742,2031,60,26,0,5,260,84,0,6096,0,0.9788,4.0940,0.3231,0.0000
251,2040,154,4,0,0,74,740,2863,781,2039,43,45,0,9,194,78,0,6117,0,0.9850,4.1491,0.4021,0.0000
252,2040,154,4,0,0,74,740,2873,800,2000,73,33,0,3,362,98,0,6000,0,0.9746,4.2000,0.2707,0.0000
253,2040,154,4,0,0,74,740,2929,974,1906,49,58,0,10,336,118,0,5718,0,0.9833,4.5331,0.3512,0.0000
254,2040,154,4,0,0,74,740,2839,796,1974,69,43,0,44,418,100,0,5922,0,0.9757,4.2097,0.2392,0.0000
255,2040,154,4,0,0,74,740,2814,799,1952,63,41,0,6,342,96,0,5856,0,0.9776,4.2280,0.2807,0.0000
256,2040,155,4,0,0,73,730,2723,704,1970,49,26,0,6,250,70,0,5910,0,0.9820,4.0721,0.2800,0.0000
257,2040,154,4,0,0,74,740,2824,750,2019,55,29,0,3,250,88,0,6060,0,0.9805,4.1124,0.3520,0.0000
258,2040,154,4,0,0,74,740,2863,818,1979,66,37,0,6,320,108,0,5940,0,0.9769,4.2379,0.3375,0.0000
259,2040,154,4,0,0,74,740,2823,762,2017,44,28,0,7,246,64,0,6051,0,0.9844,4.1334,0.2602,0.0000
260,2040,154,4,0,0,74,740,2737,701,2004,32,41,0,11,214,84,0,6012,0,0.9883,4.0494,0.3925,0.0000
261,2040,155,4,0,0,73,730,2788,778,1968,42,38,0,8,310,106,0,5904,0,0.9849,4.1860,0.3419,0.0000
262,2040,155,4,0,0,73,730,2762,740,1968,54,41,0,3,248,88,0,5904,0,0.9804,4.1280,0.3548,0.0000
263,2040,155,4,0,0,72,720,2707,716,1950,41,29,0,5,216,80,0,5850,0,0.9849,4.1015,0.3704,0.0000
264,2040,154,4,0,0,74,740,2851,891,1913,47,36,0,2,322,118,0,5739,0,0.9835,4.3973,0.3665,0.0000
265,2040,155,4,0,0,71,710,2684,722,1922,40,35,0,7,274,76,0,5766,0,0.9851,4.1270,0.2774,0.0000
266,2040,155,4,0,0,73,730,2713,743,1940,30,31,0,5,280,82,0,5820,0,0.9889,4.1490,0.2929,0.0000
267,2040,154,4,0,0,74,740,2813,768,2002,43,31,0,2,280,80,0,6006,0,0.9847,4.1508,0.2857,0.0000
