message_id,subject,player_id_0,player_id_1,player_id_2,player_id_3,player_id_4,team_id_0,team_id_1,team_id_2,team_id_3,team_id_4,league_id_0,league_id_1,importance,message_type,hype,sender_type,sender_id,recipient_id,trade_id,date,deleted,notify,ongoing_story_id,text_is_modified
2640,"",33904,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2641,"",33904,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2642,"",33904,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2643,"",33857,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2644,"",33857,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2645,"",33829,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2646,"",33793,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2647,"",33793,0,0,0,0,842,844,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-15",0,1,-1,0
2648,"",35391,0,0,0,0,308,307,0,0,0,158,0,3,4,2,5,308,0,0,"2039-4-15",0,1,-1,0
2649,"",46902,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-15",0,1,-1,0
2650,"",38111,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-15",0,1,-1,0
2651,"",669,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-15",0,1,-1,0
2652,"",49319,0,0,0,0,877,878,0,0,0,102,0,3,4,2,5,877,0,0,"2039-4-15",0,1,-1,0
2653,"",49312,0,0,0,0,877,878,0,0,0,102,0,3,4,2,5,877,0,0,"2039-4-15",0,1,-1,0
2654,"",49859,49907,0,0,0,892,886,0,0,0,102,0,3,3,1,5,892,0,0,"2039-4-15",0,1,-1,0
2655,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,65,0,"2039-4-16",0,1,-1,0
2656,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,44,0,"2039-4-16",0,1,-1,0
2657,"",0,0,0,0,0,0,0,0,0,0,172,0,3,0,1,3,172,-1,0,"2039-4-16",0,1,-1,0
2658,"",0,0,0,0,0,808,0,0,0,0,100,0,1,3,3,5,808,0,0,"2039-4-16",0,1,-1,0
2659,"",0,0,0,0,0,807,0,0,0,0,100,0,1,3,3,5,807,0,0,"2039-4-16",0,1,-1,0
2660,"",0,0,0,0,0,809,0,0,0,0,100,0,1,3,3,5,809,0,0,"2039-4-16",0,1,-1,0
2661,"",0,0,0,0,0,821,0,0,0,0,100,0,1,3,3,5,821,0,0,"2039-4-16",0,1,-1,0
2662,"",0,0,0,0,0,842,0,0,0,0,101,0,1,3,3,5,842,0,0,"2039-4-16",0,1,-1,0
2663,"",0,0,0,0,0,835,0,0,0,0,101,0,1,3,3,5,835,0,0,"2039-4-16",0,1,-1,0
2664,"",0,0,0,0,0,844,0,0,0,0,101,0,1,3,3,5,844,0,0,"2039-4-16",0,1,-1,0
2665,"",0,0,0,0,0,850,0,0,0,0,101,0,1,3,3,5,850,0,0,"2039-4-16",0,1,-1,0
2666,"",0,0,0,0,0,877,0,0,0,0,102,0,1,3,3,5,877,0,0,"2039-4-16",0,1,-1,0
2667,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2039-4-16",0,1,-1,0
2668,"",0,0,0,0,0,0,0,0,0,0,100,0,3,0,1,3,100,-1,0,"2039-4-16",0,1,-1,0
2669,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,"2039-4-16",0,1,-1,0
2670,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-16",0,1,-1,0
2671,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-16",0,1,-1,0
2672,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-16",0,1,-1,0
2673,"",39837,46602,0,0,0,167,166,0,0,0,146,0,3,3,1,5,167,0,0,"2039-4-16",0,1,-1,0
2674,"",45841,0,0,0,0,271,0,0,0,0,155,0,3,8,1,5,271,0,-5,"2039-4-16",0,1,-1,0
2675,"",21270,0,0,0,0,620,0,0,0,0,172,0,3,8,1,5,620,0,-5,"2039-4-16",0,1,-1,0
2676,"",228,38084,0,0,0,277,289,0,0,0,156,0,3,3,1,5,277,0,0,"2039-4-16",0,1,-1,0
2677,"",42300,0,0,0,0,50,0,0,0,0,145,0,3,8,1,5,50,0,-5,"2039-4-16",0,1,-1,0
2678,"",0,0,0,0,0,45,0,0,0,0,0,0,1,9,2,5,45,33,0,"2039-4-16",0,1,-1,0
2679,"",49961,0,0,0,0,894,890,0,0,0,102,0,3,4,2,5,894,0,0,"2039-4-16",0,1,-1,0
2680,"",49699,0,0,0,0,896,0,0,0,0,102,0,3,8,1,5,896,0,-5,"2039-4-16",0,1,-1,0
2681,"",42651,0,0,0,0,219,0,0,0,0,151,0,3,8,1,5,219,0,-5,"2039-4-16",0,1,-1,0
2682,"",49794,0,0,0,0,884,901,0,0,0,102,0,3,4,2,5,884,0,0,"2039-4-16",0,1,-1,0
2683,"",49420,0,0,0,0,878,877,0,0,0,102,0,3,4,2,5,878,0,0,"2039-4-16",0,1,-1,0
2684,"",50246,0,0,0,0,909,0,0,0,0,103,0,3,8,1,5,909,0,-5,"2039-4-16",0,1,-1,0
2685,"",42523,0,0,0,0,241,246,0,0,0,153,0,3,4,2,5,241,0,0,"2039-4-16",0,1,-1,0
2686,"",43389,0,0,0,0,243,240,0,0,0,153,0,3,4,2,5,243,0,0,"2039-4-16",0,1,-1,0
2687,"",50068,0,0,0,0,904,908,0,0,0,103,0,3,4,2,5,904,0,0,"2039-4-16",0,1,-1,0
2688,"",25003,0,0,0,0,215,214,0,0,0,150,0,3,4,2,5,215,0,0,"2039-4-16",0,1,-1,0
2689,"",49168,0,0,0,0,875,874,0,0,0,102,0,3,4,2,5,875,0,0,"2039-4-16",0,1,-1,0
2690,"",45848,0,0,0,0,336,333,0,0,0,161,0,3,4,3,5,336,0,0,"2039-4-16",0,1,-1,0
2691,"",0,0,0,0,0,53,0,0,0,0,0,0,1,9,2,5,53,67,0,"2039-4-16",0,1,-1,0
2692,"",33857,0,0,0,0,842,836,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-16",0,1,-1,0
2693,"",33793,0,0,0,0,842,836,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-16",0,1,-1,0
2694,"",33793,0,0,0,0,842,836,0,0,0,101,0,3,4,2,5,842,0,0,"2039-4-16",0,1,-1,0
2695,"",46713,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2696,"",44006,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2697,"",43834,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2698,"",43834,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2699,"",41797,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2700,"",31345,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2701,"",28330,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2702,"",149,0,0,0,0,307,308,0,0,0,158,0,3,4,2,5,307,0,0,"2039-4-16",0,1,-1,0
2703,"",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,3,101,-1,0,"2039-4-17",0,1,-1,0
2704,"",0,0,0,0,0,0,0,0,0,0,101,0,3,0,1,3,101,-1,0,"2039-4-17",0,1,-1,0
2705,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-17",0,1,-1,0
2706,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-17",0,1,-1,0
2707,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"2039-4-17",0,1,-1,0
2708,"",43164,0,0,0,0,585,0,0,0,0,172,0,3,8,1,5,585,0,-5,"2039-4-17",0,1,-1,0
2709,"",49723,0,0,0,0,889,0,0,0,0,102,0,3,8,1,5,889,0,-5,"2039-4-17",0,1,-1,0
2710,"",41497,0,0,0,0,320,326,0,0,0,160,0,3,4,2,5,320,0,0,"2039-4-17",0,1,-1,0
2711,"",48994,0,0,0,0,876,877,0,0,0,102,0,3,4,3,5,876,0,0,"2039-4-17",0,1,-1,0
2712,"",49168,0,0,0,0,875,882,0,0,0,102,0,3,4,3,5,875,0,0,"2039-4-17",0,1,-1,0
2713,"",44856,0,0,0,0,308,307,0,0,0,158,0,3,4,2,5,308,0,0,"2039-4-17",0,1,-1,0
2714,"",49420,0,0,0,0,878,868,0,0,0,102,0,3,4,2,5,878,0,0,"2039-4-17",0,1,-1,0
2715,"",50095,0,0,0,0,905,906,0,0,0,103,0,3,4,2,5,905,0,0,"2039-4-17",0,1,-1,0
2716,"",0,0,0,0,0,822,823,0,0,0,100,0,1,3,3,5,100,0,0,"2039-4-17",0,1,-1,0
2717,"",49461,0,0,0,0,870,865,0,0,0,102,0,3,4,2,5,870,0,0,"2039-4-17",0,1,-1,0
2718,"",0,0,0,0,0,45,0,0,0,0,0,0,1,9,2,5,45,33,0,"2039-4-17",0,1,-1,0
2719,"",43261,0,0,0,0,188,0,0,0,0,148,0,3,7,1,5,188,0,0,"2039-4-18",0,1,-1,0
2720,"",40305,0,0,0,0,206,0,0,0,0,149,0,3,7,1,5,206,0,0,"2039-4-18",0,1,-1,0
2721,"",22915,0,0,0,0,214,0,0,0,0,150,0,3,7,1,5,214,0,0,"2039-4-18",0,1,-1,0
2722,"",44311,0,0,0,0,226,0,0,0,0,151,0,3,7,1,5,226,0,0,"2039-4-18",0,1,-1,0
2723,"",40532,0,0,0,0,228,0,0,0,0,153,0,3,7,1,5,228,0,0,"2039-4-18",0,1,-1,0
2724,"",47341,0,0,0,0,249,0,0,0,0,154,0,3,7,1,5,249,0,0,"2039-4-18",0,1,-1,0
2725,"",42298,0,0,0,0,266,0,0,0,0,155,0,3,7,1,5,266,0,0,"2039-4-18",0,1,-1,0
2726,"",46446,0,0,0,0,292,0,0,0,0,157,0,3,7,1,5,292,0,0,"2039-4-18",0,1,-1,0
2727,"",44251,0,0,0,0,306,0,0,0,0,158,0,3,7,1,5,306,0,0,"2039-4-18",0,1,-1,0
2728,"",39501,0,0,0,0,317,0,0,0,0,159,0,3,7,1,5,317,0,0,"2039-4-18",0,1,-1,0
2729,"",21115,0,0,0,0,336,0,0,0,0,161,0,3,7,1,5,336,0,0,"2039-4-18",0,1,-1,0
2730,"",24187,0,0,0,0,48,0,0,0,0,145,0,3,7,1,5,48,0,0,"2039-4-18",0,1,-1,0
2731,"",19516,0,0,0,0,49,0,0,0,0,145,0,3,7,1,5,49,0,0,"2039-4-18",0,1,-1,0
2732,"",49109,0,0,0,0,865,0,0,0,0,102,0,3,7,1,5,865,0,0,"2039-4-18",0,1,-1,0
