human_manager_id,team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,cera,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
15,48,2020,145,0,0,1,0,5533,1455,6245,2268,1372,1398,555,585,739,702,1560,1207,23264,1,616,162,96,66,51,875,283,25,39,29,185,4,0,60,50,63,153,117,74,69,17,454,9,5,71,44,89,12.4920,0.2480,0.3248,0.4099,0.7347,8.4847,8.6454,1.1441,3.6177,0.0556,'',0.0000,0.4568,0.5926,3.4259,0.7500,0.2464,0.3370,4.3413,37.7662,0.0000,1.3447,0.5638,2.3897,0.2976
15,48,2021,145,0,0,1,0,5632,1463,6352,2336,1424,1324,586,572,774,715,1556,1309,23560,2,572,162,90,72,48,930,274,31,36,22,198,12,0,68,66,81,156,134,79,79,29,410,6,3,79,27,69,12.7714,0.2528,0.3286,0.4148,0.7434,8.7561,8.1412,1.2175,3.5172,0.0370,'',0.0000,0.4877,0.5556,3.6173,0.6234,0.3671,0.3805,4.3965,41.1888,0.0000,1.3637,0.5431,2.3147,0.2957
15,48,2022,145,0,0,1,0,5625,1458,6320,2365,1457,1323,582,572,777,720,1610,1219,23451,0,508,162,88,74,57,962,276,16,39,25,194,3,1,75,79,67,155,146,64,85,22,346,7,2,85,32,40,12.9383,0.2590,0.3325,0.4204,0.7530,8.9938,8.1667,1.1975,3.5309,0.0432,'',0.0000,0.3951,0.5432,3.5926,0.7215,0.2588,0.4480,4.4444,46.1634,0.0000,1.3916,0.5691,2.3129,0.3046
15,48,2023,145,0,0,1,1,5520,1434,6188,2442,1401,1453,649,553,798,742,1438,1215,23535,1,646,162,95,67,47,863,275,16,33,23,240,11,0,27,79,66,161,145,58,81,27,484,1,0,72,21,76,12.6749,0.2538,0.3273,0.4424,0.7697,8.7908,9.1171,1.5059,3.4699,0.0062,'',0.0000,0.3580,0.5864,4.0062,0.6351,0.3333,0.3326,4.6558,36.4319,0.0000,1.3623,0.5420,2.6275,0.3008
15,48,2024,145,0,0,1,1,5638,1445,6327,2608,1518,1351,542,573,895,854,1452,1317,23907,2,645,162,87,75,52,956,285,19,37,26,251,19,0,37,71,60,161,143,55,70,13,483,1,0,72,29,64,13.3911,0.2692,0.3410,0.4626,0.8036,9.4503,8.4107,1.5626,3.5672,0.0062,'',0.0000,0.3395,0.5370,3.3457,0.8000,0.1857,0.3333,5.3166,37.0651,0.0000,1.4464,0.5244,2.3578,0.3111
15,48,2025,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,'',0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,46,2028,145,0,1,1,1,5555,1420,6340,2544,1492,1195,512,640,909,848,1416,1453,23929,2,682,162,57,105,25,939,293,11,52,21,239,3,0,4,75,82,160,137,52,55,28,520,2,0,106,26,61,14.0258,0.2686,0.3498,0.4580,0.8078,9.4519,7.5704,1.5141,4.0544,0.0123,'',0.0000,0.3210,0.3519,3.1605,0.4717,0.5091,0.3077,5.3721,35.0865,0.0000,1.5007,0.4936,1.8672,0.3003
15,46,2029,145,0,1,1,1,5721,1458,6565,2662,1589,1273,445,699,946,877,1423,1461,25025,1,741,162,64,98,39,1007,320,22,65,33,229,2,2,12,74,56,161,159,45,63,22,579,1,0,70,31,82,14.4658,0.2777,0.3584,0.4653,0.8237,9.8064,7.8562,1.4133,4.3138,0.0062,'',0.0000,0.2778,0.3951,2.7469,0.6393,0.3492,0.2781,5.4123,33.7719,0.0000,1.5689,0.4934,1.8212,0.3175
15,46,2030,145,0,1,1,1,5593,1415,6443,2514,1552,1244,341,688,893,851,1263,1552,24366,2,695,162,51,111,27,1044,267,20,51,28,213,4,3,5,71,88,161,111,37,50,21,533,1,0,95,34,42,14.8001,0.2775,0.3626,0.4495,0.8121,9.8667,7.9086,1.3541,4.3739,0.0062,'',0.0000,0.2284,0.3148,2.1049,0.5625,0.4200,0.3021,5.4102,35.0590,0.0000,1.5823,0.4487,1.8081,0.3198
15,46,2031,145,0,1,1,1,5485,1435,6279,2211,1395,1168,454,638,752,698,1484,1457,23629,2,636,162,76,86,52,919,295,22,61,22,159,7,1,15,69,72,161,140,71,74,18,474,1,0,88,29,55,13.1960,0.2543,0.3365,0.4031,0.7396,8.7451,7.3220,0.9967,3.9995,0.0062,'',0.0000,0.4383,0.4691,2.8025,0.7429,0.2432,0.3397,4.3757,37.1525,0.0000,1.4161,0.5046,1.8307,0.2930
