team_id,player_id,list_id
33,32981,1
33,41958,2
33,23176,3
33,34567,1
33,23176,2
33,41852,3
33,23176,1
33,40192,2
33,40593,3
33,41852,1
33,27811,2
33,22483,3
33,40593,1
33,22483,2
33,42326,3
33,22483,1
33,41239,2
33,40319,3
33,42326,1
33,32683,2
33,40192,3
33,40319,1
33,35090,2
33,37996,3
33,35090,1
33,41852,2
33,35090,3
33,37996,1
33,41190,2
33,32683,3
33,34651,1
33,33272,2
33,20882,3
33,19529,2
33,34651,3
33,40192,1
33,39022,2
33,41958,3
33,19529,1
33,40593,2
33,34020,3
33,21090,1
33,21090,2
33,19529,3
33,44101,2
33,45806,3
33,32683,1
33,34567,2
33,34567,3
33,41895,3
33,20911,3
33,20882,1
33,36671,3
33,20038,3
33,39138,1
33,20678,3
33,39625,3
33,40853,3
33,41958,1
33,22001,3
33,34020,1
33,21090,3
33,40994,3
33,40774,3
33,44101,3
33,22820,3
33,44221,3
34,2050,1
34,22127,2
34,22127,3
34,42144,1
34,40652,2
34,31420,3
34,34137,4
34,20841,1
34,477,2
34,34137,3
34,41869,4
34,40948,1
34,36807,2
34,36807,3
34,31887,1
34,31887,2
34,45705,3
34,36213,4
34,22127,1
34,2050,2
34,31887,3
34,1944,1
34,31420,2
34,38884,3
34,40652,1
34,1318,2
34,1318,3
34,32565,1
34,20841,2
34,43114,3
34,43114,1
34,43114,2
34,40652,3
34,1318,1
34,37698,2
34,43791,3
34,40948,2
34,40140,3
34,31420,1
34,39786,2
34,36467,3
34,39786,1
34,41119,2
34,44828,3
34,1023,1
34,19193,2
34,19193,3
34,36213,1
34,45705,2
34,44178,3
34,41869,1
34,37698,3
34,45705,1
34,35700,2
34,41119,3
34,19193,1
34,39786,3
34,477,1
34,40140,2
34,40239,3
34,42144,3
34,40140,1
34,27280,3
34,41119,1
34,1944,2
34,28505,3
34,37698,1
34,477,3
34,35700,1
34,44295,3
34,1023,2
34,24246,3
34,42144,2
34,32565,3
34,34137,1
34,32565,2
34,36277,3
34,38325,3
34,36589,3
34,36277,1
34,36277,2
34,40948,3
34,40239,1
34,40239,2
34,1023,3
34,23880,3
34,2050,3
34,24246,1
34,24246,2
34,1944,3
34,35700,3
34,23880,1
34,23880,2
34,20841,3
34,36807,1
35,36839,1
35,19564,2
35,36839,3
