league_id,sub_league_id,year,all_star_pos,all_star
145,1,1945,20,14267
145,1,1945,21,14860
145,1,1945,22,16610
145,1,1945,23,16731
145,1,1945,24,17595
145,0,1946,0,6453
145,0,1946,1,8115
145,0,1946,2,16621
145,0,1946,3,5782
145,0,1946,4,9490
145,0,1946,5,13175
145,0,1946,6,17277
145,0,1946,7,5736
145,0,1946,8,9442
145,0,1946,9,2486
145,0,1946,10,4473
145,0,1946,11,4492
145,0,1946,12,5699
145,0,1946,13,5737
145,0,1946,14,6493
145,0,1946,15,7417
145,0,1946,16,8003
145,0,1946,17,9833
145,0,1946,18,12419
145,0,1946,19,14250
145,0,1946,20,15439
145,0,1946,21,15627
145,0,1946,22,15685
145,0,1946,23,16699
145,0,1946,24,17634
145,1,1946,0,12982
145,1,1946,1,4971
145,1,1946,2,11853
145,1,1946,3,14681
145,1,1946,4,9913
145,1,1946,5,10883
145,1,1946,6,12273
145,1,1946,7,8639
145,1,1946,8,16731
145,1,1946,9,3287
145,1,1946,10,4431
145,1,1946,11,4968
145,1,1946,12,6244
145,1,1946,13,7715
145,1,1946,14,8389
145,1,1946,15,9968
145,1,1946,16,10546
145,1,1946,17,10997
145,1,1946,18,11210
145,1,1946,19,11723
145,1,1946,20,13397
145,1,1946,21,13784
145,1,1946,22,13825
145,1,1946,23,14670
145,1,1946,24,14860
145,1,1946,25,15166
145,1,1946,26,16610
145,0,1947,0,12419
145,0,1947,1,14250
145,0,1947,2,11492
145,0,1947,3,7417
145,0,1947,4,9435
145,0,1947,5,3516
145,0,1947,6,17277
145,0,1947,7,5737
145,0,1947,8,10297
145,0,1947,9,2486
145,0,1947,10,4473
145,0,1947,11,5782
145,0,1947,12,6453
145,0,1947,13,8172
145,0,1947,14,8257
145,0,1947,15,9079
145,0,1947,16,9442
145,0,1947,17,9833
145,0,1947,18,11015
145,0,1947,19,12171
145,0,1947,20,12875
145,0,1947,21,14093
145,0,1947,22,14929
145,0,1947,23,15439
145,0,1947,24,16380
145,0,1947,25,17634
145,1,1947,0,3287
145,1,1947,1,4971
145,1,1947,2,11853
145,1,1947,3,16610
145,1,1947,4,7715
145,1,1947,5,10883
145,1,1947,6,15166
145,1,1947,7,16740
145,1,1947,8,16731
145,1,1947,9,3628
145,1,1947,10,3664
145,1,1947,11,4431
145,1,1947,12,6134
145,1,1947,13,6188
145,1,1947,14,7736
145,1,1947,15,9913
145,1,1947,16,10925
145,1,1947,17,10997
145,1,1947,18,11723
145,1,1947,19,12184
145,1,1947,20,12273
145,1,1947,21,12872
145,1,1947,22,13784
145,1,1947,23,14314
145,1,1947,24,14438
145,1,1947,25,15418
145,1,1947,26,15540
145,0,1948,0,11015
145,0,1948,1,14250
145,0,1948,2,11492
145,0,1948,3,7417
145,0,1948,4,9490
145,0,1948,5,3516
145,0,1948,6,8257
145,0,1948,7,6344
145,0,1948,8,12171
145,0,1948,9,3158
145,0,1948,10,4787
145,0,1948,11,5737
145,0,1948,12,5771
145,0,1948,13,5782
145,0,1948,14,6453
145,0,1948,15,8124
145,0,1948,16,9435
145,0,1948,17,10233
145,0,1948,18,12419
145,0,1948,19,12875
145,0,1948,20,13703
145,0,1948,21,15627
145,0,1948,22,16057
145,0,1948,23,16621
145,0,1948,24,17277
145,0,1948,25,17708
145,1,1948,0,3628
145,1,1948,1,4971
145,1,1948,2,11853
145,1,1948,3,14681
145,1,1948,4,12872
145,1,1948,5,13784
145,1,1948,6,12273
145,1,1948,7,2543
145,1,1948,8,15166
145,1,1948,9,3287
145,1,1948,10,3664
145,1,1948,11,6188
145,1,1948,12,7420
145,1,1948,13,7715
145,1,1948,14,8599
145,1,1948,15,9543
145,1,1948,16,9602
145,1,1948,17,10883
145,1,1948,18,10997
145,1,1948,19,11235
145,1,1948,20,13965
145,1,1948,21,13984
145,1,1948,22,14438
145,1,1948,23,14670
145,1,1948,24,15540
145,1,1948,25,16201
145,1,1948,26,16710
145,0,1949,0,12948
145,0,1949,1,16057
145,0,1949,2,14104
145,0,1949,3,11661
145,0,1949,4,9435
145,0,1949,5,9264
145,0,1949,6,17277
145,0,1949,7,5737
145,0,1949,8,5736
145,0,1949,9,3158
145,0,1949,10,3731
145,0,1949,11,5728
145,0,1949,12,5773
145,0,1949,13,7400
145,0,1949,14,7417
145,0,1949,15,8172
145,0,1949,16,8257
145,0,1949,17,9454
145,0,1949,18,10233
145,0,1949,19,11839
145,0,1949,20,13703
145,0,1949,21,13877
145,0,1949,22,15627
145,0,1949,23,16388
145,0,1949,24,17032
145,1,1949,0,15418
145,1,1949,1,14833
145,1,1949,2,11853
145,1,1949,3,14112
145,1,1949,4,9391
145,1,1949,5,13784
145,1,1949,6,9602
145,1,1949,7,12273
145,1,1949,8,10925
145,1,1949,9,3210
145,1,1949,10,3287
145,1,1949,11,3628
145,1,1949,12,4192
145,1,1949,13,4971
145,1,1949,14,7420
145,1,1949,15,8498
145,1,1949,16,10883
145,1,1949,17,12184
145,1,1949,18,12412
145,1,1949,19,12872
145,1,1949,20,13397
145,1,1949,21,14169
145,1,1949,22,14681
145,1,1949,23,15166
145,1,1949,24,16201
145,1,1949,25,16710
145,0,1950,0,13703
145,0,1950,1,3158
145,0,1950,2,5945
145,0,1950,3,5782
145,0,1950,4,9435
145,0,1950,5,14047
145,0,1950,6,17277
145,0,1950,7,5773
145,0,1950,8,6344
145,0,1950,9,4114
145,0,1950,10,4786
145,0,1950,11,5736
145,0,1950,12,5737
145,0,1950,13,6374
145,0,1950,14,6453
145,0,1950,15,7525
145,0,1950,16,8172
145,0,1950,17,8257
145,0,1950,18,8687
145,0,1950,19,10233
145,0,1950,20,10452
145,0,1950,21,11661
145,0,1950,22,13877
145,0,1950,23,14576
145,0,1950,24,15627
145,1,1950,0,14075
145,1,1950,1,4192
145,1,1950,2,12273
145,1,1950,3,14112
145,1,1950,4,9261
145,1,1950,5,10883
145,1,1950,6,9602
145,1,1950,7,15166
145,1,1950,8,14537
145,1,1950,9,3287
145,1,1950,10,4971
145,1,1950,11,8498
145,1,1950,12,8996
145,1,1950,13,9791
145,1,1950,14,12412
145,1,1950,15,12872
145,1,1950,16,13784
145,1,1950,17,14169
145,1,1950,18,14367
145,1,1950,19,14681
145,1,1950,20,15126
145,1,1950,21,15345
145,1,1950,22,15418
145,1,1950,23,15540
145,1,1950,24,17594
145,0,1951,0,7072
145,0,1951,1,3158
145,0,1951,2,6374
145,0,1951,3,6775
145,0,1951,4,9435
145,0,1951,5,4314
145,0,1951,6,17277
145,0,1951,7,5736
145,0,1951,8,17032
145,0,1951,9,4053
145,0,1951,10,5737
145,0,1951,11,5773
145,0,1951,12,5782
145,0,1951,13,7706
145,0,1951,14,8172
145,0,1951,15,8867
145,0,1951,16,10233
145,0,1951,17,10487
145,0,1951,18,10903
145,0,1951,19,11822
145,0,1951,20,12948
145,0,1951,21,14047
145,0,1951,22,14104
145,0,1951,23,14898
145,0,1951,24,15627
145,1,1951,0,14075
145,1,1951,1,4192
145,1,1951,2,8498
145,1,1951,3,14112
145,1,1951,4,6188
145,1,1951,5,5390
145,1,1951,6,12273
145,1,1951,7,2543
145,1,1951,8,6244
145,1,1951,9,3287
145,1,1951,10,6134
145,1,1951,11,8996
145,1,1951,12,9261
145,1,1951,13,9602
145,1,1951,14,10252
145,1,1951,15,10733
145,1,1951,16,12412
145,1,1951,17,13784
145,1,1951,18,14169
145,1,1951,19,14681
145,1,1951,20,15166
145,1,1951,21,15345
145,1,1951,22,15418
145,1,1951,23,17048
145,1,1951,24,17594
145,0,1952,0,13703
145,0,1952,1,3158
145,0,1952,2,14104
145,0,1952,3,2594
