team_id,starter_0,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7
872,33491,0,0,0,0,0,0,0
873,49424,0,0,0,0,0,0,0
874,27996,0,0,0,0,0,0,0
875,31972,0,0,0,0,0,0,0
876,48972,50198,50187,33553,48972,0,0,0
877,49297,0,0,0,0,0,0,0
878,35873,0,0,0,0,0,0,0
879,49173,0,0,0,0,0,0,0
880,32868,0,0,0,0,0,0,0
881,30540,0,0,0,0,0,0,0
882,32990,0,0,0,0,0,0,0
883,23717,0,0,0,0,0,0,0
884,23710,0,0,0,0,0,0,0
885,25624,0,0,0,0,0,0,0
886,50075,0,0,0,0,0,0,0
887,26042,0,0,0,0,0,0,0
888,50230,0,0,0,0,0,0,0
889,42876,0,0,0,0,0,0,0
890,26667,0,0,0,0,0,0,0
891,25924,0,0,0,0,0,0,0
892,23434,0,0,0,0,0,0,0
893,24100,0,0,0,0,0,0,0
894,22849,0,0,0,0,0,0,0
895,23930,0,0,0,0,0,0,0
896,1112,0,0,0,0,0,0,0
897,23483,0,0,0,0,0,0,0
898,43363,0,0,0,0,0,0,0
899,24487,24574,24497,24485,24487,0,0,0
900,39544,0,0,0,0,0,0,0
901,25318,0,0,0,0,0,0,0
902,23094,0,0,0,0,0,0,0
903,49971,0,0,0,0,0,0,0
904,22256,0,0,0,0,0,0,0
905,22174,0,0,0,0,0,0,0
906,21903,0,0,0,0,0,0,0
907,22479,0,0,0,0,0,0,0
908,50002,22670,0,0,0,0,0,0
909,20980,0,0,0,0,0,0,0
910,44967,0,0,0,0,0,0,0
911,33740,50199,0,0,0,0,0,0
912,21309,0,0,0,0,0,0,0
913,21766,0,0,0,0,0,0,0
914,47549,0,0,0,0,0,0,0
915,44266,0,0,0,0,0,0,0
916,41708,0,0,0,0,0,0,0
917,38169,0,0,0,0,0,0,0
918,34541,0,0,0,0,0,0,0
919,28591,0,0,0,0,0,0,0
920,22829,0,0,0,0,0,0,0
921,22356,0,0,0,0,0,0,0
922,21252,0,0,0,0,0,0,0
